en,fr
A scatter plot comparing two performance indicators.,Un diagramme de dispersion comparant deux indicateurs de performance.
MP Color Settings,Paramètres de couleur des procédures de gestion
"Click the colored box of each MP to select a different color, or select from an existing color palette at the bottom.",Cliquez sur la case en couleur de chaque procédure de gestion pour sélectionner une couleur différente ou choisissez une couleur existante dans la palette de couleurs au bas de l'écran.
Apply Color Selections,Appliquer les sélections de couleur
Select a Color Palette,Sélectionner une palette de couleurs
Click ,Cliquez 
here,ici
to modify colors,pour modifier les couleurs
Factors,Facteurs
Design,Conception
Filters,Filtres
Apply Filters,Appliquer les filtres
Shading?,Nuances ?
Min-Max Color Scaling?,Échelle de couleurs min-max ?
Static Table?,Tableau statique ?
Quilt Color Settings,Paramètres de couleur pour Quilt
High Values,Valeurs élevées
Low Values,Valeurs faibles
The Quilt plot is designed as a color-coded table showing the values of the selected Performance Indicators (columns) for each Management Procedure (rows).,Le diagramme Quilt se présente sous la forme d'un tableau à code couleur indiquant les valeurs des indicateurs de performance sélectionnés (colonnes) pour chaque procédure de gestion (lignes).
"An exception is if the analyst who built the Slick Object specified maximum and minimum values for each performance indicator (e.g., between 0 and 1 for probabilities).",Une exception est possible si l'analyste qui a conçu l'objet Slick a spécifié des valeurs maximales et minimales pour chaque indicateur de performance (par exemple entre 0 et 1 pour des probabilités)
Use the button below the Quilt table to modify the colors shown in the table.,Utilisez le bouton situé sous le tableau Quilt pour modifier les couleurs présentes dans le tableau.
Note: currently the Report feature is not implemented for the Quilt plot.,Remarque : la fonctionnalité Rapport n'est actuellement pas disponible pour le diagramme Quilt.
highest value,valeur la plus élevée
 lowest value , valeur la plus basse 
The color shading indicates values ranging between the,Les couleurs indiquent les valeurs comprises entre
to the,et
for the performance indicator in each column. Higher values indicated better performance.,pour l'indicateur de performance dans chaque colonne. Des valeurs plus élevées indiquent une meilleure performance.
Add to Report,Ajouter au rapport
Description,Description
Description or caption for chart,Description ou légende du graphique
Image Settings,Paramètres de l'image
Update Plot,Mettre à jour le diagramme
Report Format,Format du rapport
Generate report,Générer un rapport
Nothing added to Report yet,Le rapport ne contient encore aucune donnée
Introduction,Présentation
Home,Accueil
Report,Rapport
By Management Procedure,Par procédure de gestion
Relative Scale,Échelle relative
Please select 3 or more Performance Indicators,Veuillez sélectionner 3 indicateurs de performance ou plus
 management procedures (MP) against , procédures de gestion par rapport aux 
 performance indicators., indicateurs de performance.
Each value is the mean performance indicator over ,Chaque valeur correspond à l'indicateur de performance moyen sur 
Larger polygon areas indicate better overall performance.,Des polygones plus grands indiquent une meilleure performance globale.
The filled plots represent an average score of all performance indicators for each management procedure. It provides a quick comparison of overall MP performances. Larger areas indicate better overall performance,Les graphiques pleins représentent le score moyen de tous les indicateurs de performance pour chaque procédure de gestion. Cela permet de comparer rapidement les performances globales des procédures de gestion. Les zones les plus grandes indiquent une meilleure performance globale
These summary values assume equal weighting and equal scaling of performance indicators.,Ces valeurs récapitulatives supposent une pondération et une échelle égales des indicateurs de performance.
This chart,Ce graphique
compares the performance of ,compare les performances des 
 management procedures (MP), procédures de gestion
against ,par rapport aux 
 performance indicators, indicateurs de performance
 for a set of , d'un ensemble de 
 operating models (columns)., modèles d'exploitation (colonnes).
The polygon edges in each chart connect the individual scores of the performance indicators for that management procedure. Points closer to the exterior edge indicate better performance.,Les polygones de chaque graphique relient les scores individuels des indicateurs de performance pour cette procédure de gestion. Les points les plus proches du bord extérieur indiquent une meilleure performance.
The percentages represent an average score of all performance indicators for each management procedure. It provides a quick comparison of overall performance for each MP. Filled hexagons with larger areas indicate better overall performance.,Les pourcentages représentent le score moyen de tous les indicateurs de performance pour chaque procédure de gestion. Cela permet de comparer rapidement les performances globales de chaque procédure de gestion. Les hexagones pleins dont la surface est plus grande indiquent une meilleure performance globale.
"For each operating model (in columns), the management procedures (in rows) are ordered from highest to lowest overall average score.","Pour chaque modèle d'exploitation (colonnes), les procédures de gestion (en lignes) sont classées de la note moyenne la plus élevée à la note moyenne la plus basse."
Note:,Remarque :
These summary values assume equal weighting and equal scaling of performance indicators. Use the button to turn off the Overall Scores.,Ces valeurs récapitulatives supposent une pondération et une échelle égales des indicateurs de performance. utilisez le bouton pour désactiver les scores globaux.
Overall Score,Score global
Overall scores,Score globaux
(average of ,(moyenne des 
performance indicators),indicateurs de performance)
Please select 3 or more Peformance Indicators,Veuillez sélectionner 3 indicateurs de performance ou plus
Please select 2 or more MPs,Veuillez sélectionner 2 procédures de gestion ou plus
 Management Procedures. Mean values over , Procédures de gestion. Valeurs moyennes des 
 Operating Models., Modèles d'exploitation.
 Management Procedures. Mean values over simulations for , Procédures de gestion. Valeurs moyennes des simulations des 
 Management Procedures. , Procédures de gestion. 
Select Variable:,Sélectionnez une variable :
Y-Axis Range,Plage de l'axe Y
Include MP percentiles?,Inclure les percentiles des procédures de gestion ?
Include MP Labels?,Inclure les libellés des procédures de gestion ?
Include Historical?,Inclure l'historique ?
"This chart shows a stock status variables over time, for ",Ce graphique montre les variables de l'état d'un stock dans le temps
management procedures and level of uncertainty across,les procédures de gestion et le niveau d'incertitude pour
different simulation runs,différentes simulations
management procedures and,procédures de gestion et
individual Operating Models.,modèles d'exploitation individuels.
"The results are shown for 1 operating model at a time, either as the median across",Les résultats sont présentés pour un modèle d'exploitation à la fois soit comme la médiane de l'ensemble des
"simulations, or for a specific simulation.","simulations, ou pour une simulation spécifique."
"Click the ""Operating Model"" dropdown in the top menu for details of each OM.",Cliquez sur « Modèle d'exploitation » dans le menu supérieur déroulant pour obtenir des informations sur chaque modèle d'exploitation.
Plot Option,Option du diagramme
by MP?,par procédure de gestion ?
Individual Simulation:,Simulation individuelle :
Update Plots,Mettre à jour les diagrammes
This chart plots the tradeoffs between any two performance indicators (select on right) for ,Ce graphique représente les compromis entre deux indicateurs de performance (les sélectionner à droite) des 
management procedures (MP).,procédures de gestion.
Select the Performance Indicators to show on the X and Y axes of the Tradeoff plot:,Sélectionnez les indicateurs de performance à afficher sur les axes X et Y du graphique de compromis :
X-Axis Performance Indicator,Indicateur de performance de l'axe X
Y-Axis Performance Indicator,Indicateur de performance de l'axe Y
